task id,Table PNG,Table Rendering,Dataset Number,Topic,Condition,Repetition,Task
3,DS5_cereal_plain1.png,37,5,cereal,plain,1,Sort
3,DS6_cereal_plain2.png,38,6,cereal,plain,2,Sort
3,DS7_cereal_plain3.png,39,7,cereal,plain,3,Sort
3,DS8_cereal_plain4.png,40,8,cereal,plain,4,Sort
3,DS9_candy_zebra1.png,25,9,candy,zebra,1,Sort
3,DS10_candy_zebra2.png,26,10,candy,zebra,2,Sort
3,DS11_candy_zebra3.png,27,11,candy,zebra,3,Sort
3,DS12_candy_zebra4.png,28,12,candy,zebra,4,Sort
3,DS13_movie_bar1.png,61,13,movie,bar,1,Sort
3,DS14_movie_bar2.png,62,14,movie,bar,2,Sort
3,DS15_movie_bar3.png,63,15,movie,bar,3,Sort
3,DS16_movie_bar4.png,64,16,movie,bar,4,Sort
4,DS1_anime_color1.png,1,1,anime,color,1,Estimate Average
4,DS2_anime_color2.png,2,2,anime,color,2,Estimate Average
4,DS3_anime_color3.png,Carbo,H,88 86 83,"In the 'Carbo' column, give the row names of the cereals with the highest 3 values in descending order ",Oatmeal Crisp-Wheat Cream-Grape Flakes,5 19 20
4,DS4_anime_color4.png,Potassium,I,71 70 68,"In the 'Potassium' column, give the row names of the cereals with the highest 3 values in descending order ",Corn Favorite-Frosted Flakes-Natural Bran,22 3 7
4,DS5_cereal_plain1.png,Score,J,60 56 53,"In the 'Score' column, give the row names of the cereals with the highest 3 values in descending order ",Count Chocula-Wonderful Chex-Almond Delight,7 23 18
4,DS6_cereal_plain2.png,Vitamins,K,75 73 71,"In the 'Vitamins' column, give the row names of the cereals with the highest 3 values in descending order ",Froot Loops-Count Chocula-Bran Chex,16 10 19
4,DS7_cereal_plain3.png,Hard,H,98 84 80,"In the 'Hard' column, give the row names of the candys with the highest 3 values in descending order ",Fun Dips-Crunch Time-Now Later,30 9 11
4,DS8_cereal_plain4.png,Almond,K,75 73 71,"In the 'Almond' column, give the row names of the candys with the highest 3 values in descending order ",Fun Dips-Laffy Taffy-Gold Bears,31 8 26
4,DS9_candy_zebra1.png,Nougat,L,75 73 71,"In the 'Nougat' column, give the row names of the candys with the highest 3 values in descending order ",Gold Bears-Fun Dips-Root Barrels,27 12 28
4,DS10_candy_zebra2.png,Fruity,J,98 97 95,"In the 'Fruity' column, give the row names of the candys with the highest 3 values in descending order ",Air Heads-Junior Mints-Haribo Cola,30 19 16
4,DS11_candy_zebra3.png,Roger Ebert,I,71 70 68,"In the 'Roger Ebert' column, give the row names of the movies with the highest 3 values in descending order ",Adaline Age-Project Almanac-Ricki Flash,21 16 17
4,DS12_candy_zebra4.png,Metacritic,K,75 73 71,"In the 'Metacritic' column, give the row names of the movies with the highest 3 values in descending order ",Fantastic Four-Flights Up-Hunting Ground,5 21 20
4,DS13_movie_bar1.png,Film Comment,H,98 84 80,"In the 'Film Comment' column, give the row names of the movies with the highest 3 values in descending order ",South Paw-Next Door-Black Sea,10 9 20
4,DS14_movie_bar2.png,Fandango,J,71 70 68,"In the 'Fandango' column, give the row names of the movies with the highest 3 values in descending order ",Wild Tales-End Tour-Tomorrow land,18 6 10
4,DS15_movie_bar3.png,Score,D,nan,"In the 'Score' column, calculate a rough estimate of the average value",28.89655172413793,D
4,DS16_movie_bar4.png,Episodes,F,nan,"In the 'Episodes' column, calculate a rough estimate of the average value",62.37931034482759,F
5,DS1_anime_color1.png,Members,E,nan,"In the 'Members' column, calculate a rough estimate of the average value",37.86206896551724,E
5,DS2_anime_color2.png,Favorites,G,nan,"In the 'Favorites' column, calculate a rough estimate of the average value",47.6551724137931,G
5,DS3_anime_color3.png,3,3,anime,color,3,Retrieve Value
5,DS4_anime_color4.png,4,4,anime,color,4,Retrieve Value
5,DS5_cereal_plain1.png,37,5,cereal,plain,1,Retrieve Value
5,DS6_cereal_plain2.png,38,6,cereal,plain,2,Retrieve Value
5,DS7_cereal_plain3.png,39,7,cereal,plain,3,Retrieve Value
5,DS8_cereal_plain4.png,40,8,cereal,plain,4,Retrieve Value
5,DS9_candy_zebra1.png,25,9,candy,zebra,1,Retrieve Value
5,DS10_candy_zebra2.png,26,10,candy,zebra,2,Retrieve Value
5,DS11_candy_zebra3.png,27,11,candy,zebra,3,Retrieve Value
5,DS12_candy_zebra4.png,28,12,candy,zebra,4,Retrieve Value
5,DS13_movie_bar1.png,61,13,movie,bar,1,Retrieve Value
5,DS14_movie_bar2.png,62,14,movie,bar,2,Retrieve Value
5,DS15_movie_bar3.png,63,15,movie,bar,3,Retrieve Value
5,DS16_movie_bar4.png,64,16,movie,bar,4,Retrieve Value
