Table PNG,Table Rendering,Dataset Number,Topic,Condition,Repetition,Header1, Column,Par 1, Prompt , Answer,Answer Column / Row1, Header2, Column.1,Par 1.1,T2 Prompt , Answer.1,Answer Column / Row2,Header3, Column.2,Par 1.2, Prompt .1,T3 Answer3,Expected Answer, Answer Column / Row3, Header4, Column.3,Par 1.3,T4 Prompt ,T4 Answer, Answer Column / Row4, Header5, Column.4,Par1,T5 Prompt,T5 Answer, Answer Column / Row5
DS15_movie_bar3.png,63,15,movie,bar,3,PluggedIn,J,54,"In the 'PluggedIn' column, count how many cells exceed the value of '54' ",7,J,RottenTomatoes,C,0.9167989111790532,Determine which of the last 5 columns is most positively correalated with the first column named 'RottenTomatoes' ,Netflix,K,Film Comment,H,98 84 80,"In the 'Film Comment' column, give the row names of the movies with the highest 3 values in descending order ",Black Sea,South Paw-Next Door-Black Sea,10 9 20,Metacritic,F,,"In the 'Metacritic' column, calculate a rough estimate of the average value",50.241379310344826,F,Naver,L,73,"In the 'Naver' column, find the movie with a value equal to '73' ",End Tour,19
DS16_movie_bar4.png,64,16,movie,bar,4,Netflix,G,57,"In the 'Netflix' column, count how many cells exceed the value of '57' ",6,G,IMDB,C,0.9728327679668906,Determine which of the last 5 columns is most positively correalated with the first column named 'IMDB' ,Fandango,J,Fandango,J,71 70 68,"In the 'Fandango' column, give the row names of the movies with the highest 3 values in descending order ",Tomorrow land,Wild Tales-End Tour-Tomorrow land,18 6 10,Hulu,E,,"In the 'Hulu' column, calculate a rough estimate of the average value",52.310344827586206,E,Film Comment,K,31,"In the 'Film Comment' column, find the movie with a value equal to '31' ",Next Door,17
DS1_anime_color1.png,1,1,anime,color,1,Watching,J,80,"In the 'Watching' column, count how many cells exceed the value of '80' ",7,J,Episodes,C,0.9092102829133202,Determine which of the last 5 columns is most positively correalated with the first column named 'Episodes' ,Completed,I,Dropped,L,60 56 53,"In the 'Dropped' column, give the row names of the animes with the highest 3 values in descending order ",Dragon Ball,Fafnar Weapon-Connect Angel-Dragon Ball,13 18 27,Score,D,,"In the 'Score' column, calculate a rough estimate of the average value",28.89655172413793,D,Members,G,15,"In the 'Members' column, find the anime with a value equal to '15' ",Metal Panic,16
DS2_anime_color2.png,2,2,anime,color,2,Popularity,I,70,"In the 'Popularity' column, count how many cells exceed the value of '70' ",6,I,Plan to Watch,C,0.94286333401893,Determine which of the last 5 columns is most positively correalated with the first column named 'Plan to Watch' ,Favorites,L,Popularity,I,88 86 83,"In the 'Popularity' column, give the row names of the animes with the highest 3 values in descending order ",Assassian World,Different Life-Connect Angel-Assassian World,5 18 6,Episodes,F,,"In the 'Episodes' column, calculate a rough estimate of the average value",66.90214352283319,F,Ranked,H,26,"In the 'Ranked' column, find the anime with a value equal to '26' ",Monster Hunter,20
DS3_anime_color3.png,3,3,anime,color,3,Watching,G,88,"In the 'Watching' column, count how many cells exceed the value of '88' ",5,G,Completed,C,0.9730627334501696,Determine which of the last 5 columns is most positively correalated with the first column named 'Completed' ,Episodes,K,On-Hold,J,75 73 71,"In the 'On-Hold' column, give the row names of the animes with the highest 3 values in descending order ",Connect Angel,Dragon Ball-Different Life-Connect Angel,5 10 11,Members,E,,"In the 'Members' column, calculate a rough estimate of the average value",37.86206896551724,E,Dropped,I,17,"In the 'Dropped' column, find the anime with a value equal to '17' ",Magical Warfare,16
DS4_anime_color4.png,4,4,anime,color,4,Members,K,43,"In the 'Members' column, count how many cells exceed the value of '43' ",8,K,Score,C,0.9544895140214856,Determine which of the last 5 columns is most positively correalated with the first column named 'Score' ,Dropped,J,Members,K,74 73 70,"In the 'Members' column, give the row names of the animes with the highest 3 values in descending order ",Travel World,Different Life-Fafnar Weapon-Travel World,6 24 22,Favorites,G,,"In the 'Favorites' column, calculate a rough estimate of the average value",47.6551724137931,G,Dropped,J,12,"In the 'Dropped' column, find the anime with a value equal to '12' ",Metal Panic,18
DS5_cereal_zebra1.png,21,5,cereal,zebra,1,Sodium,I,57,"In the 'Sodium' column, count how many cells exceed the value of '57' ",8,I,Potassium,C,0.9184836043043162,Determine which of the last 5 columns is most positively correalated with the first column named 'Potassium' ,Sugars,K,Vitamins,H,88 86 83,"In the 'Vitamins' column, give the row names of the cereals with the highest 3 values in descending order ",Raisin Bran,Cap Crunch-Corn Favorite-Raisin Bran,5 19 20,Fiber,F,,"In the 'Fiber' column, calculate a rough estimate of the average value",56.93103448275862,F,Sugars,K,51,"In the 'Sugars' column, find the cereal with a value equal to '51' ",Wonderful Chex,17
DS6_cereal_zebra2.png,22,6,cereal,zebra,2,Score,H,70,"In the 'Score' column, count how many cells exceed the value of '70' ",5,H,Calories,C,0.9446645799659852,Determine which of the last 5 columns is most positively correalated with the first column named 'Calories' ,Protein,I,Protein,I,71 70 68,"In the 'Protein' column, give the row names of the cereals with the highest 3 values in descending order ",Fruity Pebbles,Smile Maker-Natural Bran-Fruity Pebbles,22 3 7,Fiber,G,,"In the 'Fiber' column, calculate a rough estimate of the average value",52.310344827586206,G,Score,H,32,"In the 'Score' column, find the cereal with a value equal to '32' ",Wheat Cream,19
DS7_cereal_zebra3.png,23,7,cereal,zebra,3,Carbo,J,45,"In the 'Carbo' column, count how many cells exceed the value of '45' ",6,J,Iron,C,0.91594870582426,Determine which of the last 5 columns is most positively correalated with the first column named 'Iron' ,Carbo,J,Carbo,J,60 56 53,"In the 'Carbo' column, give the row names of the cereals with the highest 3 values in descending order ",Mini Wheats,Cinnamon Toast-Cap Crunch-Mini Wheats,7 23 18,Sugars,D,,"In the 'Sugars' column, calculate a rough estimate of the average value",35.62068965517241,D,Protein,I,83,"In the 'Protein' column, find the cereal with a value equal to '83' ",Lucky Charms,17
DS8_cereal_zebra4.png,24,8,cereal,zebra,4,Sodium,K,60,"In the 'Sodium' column, count how many cells exceed the value of '60' ",7,K,Vitamins,C,0.9094184192004277,Determine which of the last 5 columns is most positively correalated with the first column named 'Vitamins' ,Potassium,L,Sodium,K,75 73 71,"In the 'Sodium' column, give the row names of the cereals with the highest 3 values in descending order ",Raisin Bran,Wonderful Chex-Bran Chex-Raisin Bran,16 10 19,Score,E,,"In the 'Score' column, calculate a rough estimate of the average value",52.310344827586206,E,Sodium,K,26,"In the 'Sodium' column, find the cereal with a value equal to '26' ",Wheat Cream,20
DS9_candy_plain1.png,41,9,candy,plain,1,Fruity,K,66,"In the 'Fruity' column, count how many cells exceed the value of '66' ",5,K,Hard,C,0.952484021784787,Determine which of the last 5 columns is most positively correalated with the first column named 'Hard' ,Chocolate,L,SugarPercent,H,98 84 80,"In the 'SugarPercent' column, give the row names of the candys with the highest 3 values in descending order ",Berry Chews,Gold Bears-Milk Duds-Berry Chews,30 9 11,Caramel,G,,"In the 'Caramel' column, calculate a rough estimate of the average value",37.86206896551724,G,Bar,J,32,"In the 'Bar' column, find the candy with a value equal to '32' ",Fun Dips,19
DS10_candy_plain2.png,42,10,candy,plain,2,Rating,J,38,"In the 'Rating' column, count how many cells exceed the value of '38' ",8,J,SugarPercent,C,0.9102243079467232,Determine which of the last 5 columns is most positively correalated with the first column named 'SugarPercent' ,Rating,J,Chocolate,K,75 73 71,"In the 'Chocolate' column, give the row names of the candys with the highest 3 values in descending order ",Now Later,Milk Duds-Fruit Chews-Now Later,31 8 26,Almond,D,,"In the 'Almond' column, calculate a rough estimate of the average value",35.62068965517241,D,Chocolate,K,68,"In the 'Chocolate' column, find the candy with a value equal to '68' ",Root Barrels,17
DS11_candy_plain3.png,43,11,candy,plain,3,Pluribus,G,50,"In the 'Pluribus' column, count how many cells exceed the value of '50' ",7,G,Rating,C,0.9228939980431892,Determine which of the last 5 columns is most positively correalated with the first column named 'Rating' ,Chocolate,K,Almond,L,75 73 71,"In the 'Almond' column, give the row names of the candys with the highest 3 values in descending order ",Junior Mints,Pop Rocks-Pixie Sticks-Junior Mints,27 12 28,Caramel,F,,"In the 'Caramel' column, calculate a rough estimate of the average value",50.241379310344826,F,Almond,L,26,"In the 'Almond' column, find the candy with a value equal to '26' ",Reese Pieces,11
DS12_candy_plain4.png,44,12,candy,plain,4,Nougat,I,57,"In the 'Nougat' column, count how many cells exceed the value of '57' ",6,I,Hard,C,0.9508786303434444,Determine which of the last 5 columns is most positively correalated with the first column named 'Hard' ,Nougat,I,Pluribus,J,98 97 95,"In the 'Pluribus' column, give the row names of the candys with the highest 3 values in descending order ",Hersheys Kisses,Milk Duds-Boston Beans-Hersheys Kisses,30 19 16,Fruity,G,,"In the 'Fruity' column, calculate a rough estimate of the average value",37.86206896551724,G,Caramel,K,15,"In the 'Caramel' column, find the candy with a value equal to '15' ",Fruit Chews,15
DS13_movie_bar1.png,61,13,movie,bar,1,Fandango,H,70,"In the 'Fandango' column, count how many cells exceed the value of '70' ",5,H,Naver,C,0.9697062062812496,Determine which of the last 5 columns is most positively correalated with the first column named 'Naver' ,Roger Ebert,I,Roger Ebert,I,71 70 68,"In the 'Roger Ebert' column, give the row names of the movies with the highest 3 values in descending order ",Ricki Flash,Adaline Age-Project Almanac-Ricki Flash,21 16 17,Metacritic,E,,"In the 'Metacritic' column, calculate a rough estimate of the average value",52.310344827586206,E,IMDB,J,67,"In the 'IMDB' column, find the movie with a value equal to '67' ",South Paw,20
DS14_movie_bar2.png,62,14,movie,bar,2,Hulu,I,76,"In the 'Hulu' column, count how many cells exceed the value of '76' ",8,I,MrQE,C,0.932265725644314,Determine which of the last 5 columns is most positively correalated with the first column named 'MrQE' ,Netflix,L,Metacritic,K,75 73 71,"In the 'Metacritic' column, give the row names of the movies with the highest 3 values in descending order ",Hunting Ground,Fantastic Four-Flights Up-Hunting Ground,5 21 20,Fandango,G,,"In the 'Fandango' column, calculate a rough estimate of the average value",37.86206896551724,G,Hulu,I,79,"In the 'Hulu' column, find the movie with a value equal to '79' ",Saint Laurent,18
DS15_movie_bar3.png,63,15,movie,bar,3,PluggedIn,J,54,"In the 'PluggedIn' column, count how many cells exceed the value of '54' ",7,J,RottenTomatoes,C,0.9167989111790532,Determine which of the last 5 columns is most positively correalated with the first column named 'RottenTomatoes' ,Netflix,K,Film Comment,H,98 84 80,"In the 'Film Comment' column, give the row names of the movies with the highest 3 values in descending order ",Black Sea,South Paw-Next Door-Black Sea,10 9 20,Metacritic,F,,"In the 'Metacritic' column, calculate a rough estimate of the average value",50.241379310344826,F,Naver,L,73,"In the 'Naver' column, find the movie with a value equal to '73' ",End Tour,19
DS16_movie_bar4.png,64,16,movie,bar,4,Netflix,G,57,"In the 'Netflix' column, count how many cells exceed the value of '57' ",6,G,IMDB,C,0.9728327679668906,Determine which of the last 5 columns is most positively correalated with the first column named 'IMDB' ,Fandango,J,Fandango,J,71 70 68,"In the 'Fandango' column, give the row names of the movies with the highest 3 values in descending order ",Tomorrow land,Wild Tales-End Tour-Tomorrow land,18 6 10,Hulu,E,,"In the 'Hulu' column, calculate a rough estimate of the average value",52.310344827586206,E,Film Comment,K,31,"In the 'Film Comment' column, find the movie with a value equal to '31' ",Next Door,17
DS1_anime_color1.png,1,1,anime,color,1,Watching,J,80,"In the 'Watching' column, count how many cells exceed the value of '80' ",7,J,Episodes,C,0.9092102829133202,Determine which of the last 5 columns is most positively correalated with the first column named 'Episodes' ,Completed,I,Dropped,L,60 56 53,"In the 'Dropped' column, give the row names of the animes with the highest 3 values in descending order ",Dragon Ball,Fafnar Weapon-Connect Angel-Dragon Ball,13 18 27,Score,D,,"In the 'Score' column, calculate a rough estimate of the average value",28.89655172413793,D,Members,G,15,"In the 'Members' column, find the anime with a value equal to '15' ",Metal Panic,16
DS2_anime_color2.png,2,2,anime,color,2,Popularity,I,70,"In the 'Popularity' column, count how many cells exceed the value of '70' ",6,I,Plan to Watch,C,0.94286333401893,Determine which of the last 5 columns is most positively correalated with the first column named 'Plan to Watch' ,Favorites,L,Popularity,I,88 86 83,"In the 'Popularity' column, give the row names of the animes with the highest 3 values in descending order ",Assassian World,Different Life-Connect Angel-Assassian World,5 18 6,Episodes,F,,"In the 'Episodes' column, calculate a rough estimate of the average value",66.90214352283319,F,Ranked,H,26,"In the 'Ranked' column, find the anime with a value equal to '26' ",Monster Hunter,20
DS3_anime_color3.png,3,3,anime,color,3,Watching,G,88,"In the 'Watching' column, count how many cells exceed the value of '88' ",5,G,Completed,C,0.9730627334501696,Determine which of the last 5 columns is most positively correalated with the first column named 'Completed' ,Episodes,K,On-Hold,J,75 73 71,"In the 'On-Hold' column, give the row names of the animes with the highest 3 values in descending order ",Connect Angel,Dragon Ball-Different Life-Connect Angel,5 10 11,Members,E,,"In the 'Members' column, calculate a rough estimate of the average value",37.86206896551724,E,Dropped,I,17,"In the 'Dropped' column, find the anime with a value equal to '17' ",Magical Warfare,16
DS4_anime_color4.png,4,4,anime,color,4,Members,K,43,"In the 'Members' column, count how many cells exceed the value of '43' ",8,K,Score,C,0.9544895140214856,Determine which of the last 5 columns is most positively correalated with the first column named 'Score' ,Dropped,J,Members,K,74 73 70,"In the 'Members' column, give the row names of the animes with the highest 3 values in descending order ",Travel World,Different Life-Fafnar Weapon-Travel World,6 24 22,Favorites,G,,"In the 'Favorites' column, calculate a rough estimate of the average value",47.6551724137931,G,Dropped,J,12,"In the 'Dropped' column, find the anime with a value equal to '12' ",Metal Panic,18
DS5_cereal_zebra1.png,21,5,cereal,zebra,1,Sodium,I,57,"In the 'Sodium' column, count how many cells exceed the value of '57' ",8,I,Potassium,C,0.9184836043043162,Determine which of the last 5 columns is most positively correalated with the first column named 'Potassium' ,Sugars,K,Vitamins,H,88 86 83,"In the 'Vitamins' column, give the row names of the cereals with the highest 3 values in descending order ",Raisin Bran,Cap Crunch-Corn Favorite-Raisin Bran,5 19 20,Fiber,F,,"In the 'Fiber' column, calculate a rough estimate of the average value",56.93103448275862,F,Sugars,K,51,"In the 'Sugars' column, find the cereal with a value equal to '51' ",Wonderful Chex,17
DS6_cereal_zebra2.png,22,6,cereal,zebra,2,Score,H,70,"In the 'Score' column, count how many cells exceed the value of '70' ",5,H,Calories,C,0.9446645799659852,Determine which of the last 5 columns is most positively correalated with the first column named 'Calories' ,Protein,I,Protein,I,71 70 68,"In the 'Protein' column, give the row names of the cereals with the highest 3 values in descending order ",Fruity Pebbles,Smile Maker-Natural Bran-Fruity Pebbles,22 3 7,Fiber,G,,"In the 'Fiber' column, calculate a rough estimate of the average value",52.310344827586206,G,Score,H,32,"In the 'Score' column, find the cereal with a value equal to '32' ",Wheat Cream,19
DS7_cereal_zebra3.png,23,7,cereal,zebra,3,Carbo,J,45,"In the 'Carbo' column, count how many cells exceed the value of '45' ",6,J,Iron,C,0.91594870582426,Determine which of the last 5 columns is most positively correalated with the first column named 'Iron' ,Carbo,J,Carbo,J,60 56 53,"In the 'Carbo' column, give the row names of the cereals with the highest 3 values in descending order ",Mini Wheats,Cinnamon Toast-Cap Crunch-Mini Wheats,7 23 18,Sugars,D,,"In the 'Sugars' column, calculate a rough estimate of the average value",35.62068965517241,D,Protein,I,83,"In the 'Protein' column, find the cereal with a value equal to '83' ",Lucky Charms,17
DS8_cereal_zebra4.png,24,8,cereal,zebra,4,Sodium,K,60,"In the 'Sodium' column, count how many cells exceed the value of '60' ",7,K,Vitamins,C,0.9094184192004277,Determine which of the last 5 columns is most positively correalated with the first column named 'Vitamins' ,Potassium,L,Sodium,K,75 73 71,"In the 'Sodium' column, give the row names of the cereals with the highest 3 values in descending order ",Raisin Bran,Wonderful Chex-Bran Chex-Raisin Bran,16 10 19,Score,E,,"In the 'Score' column, calculate a rough estimate of the average value",52.310344827586206,E,Sodium,K,26,"In the 'Sodium' column, find the cereal with a value equal to '26' ",Wheat Cream,20
DS9_candy_plain1.png,41,9,candy,plain,1,Fruity,K,66,"In the 'Fruity' column, count how many cells exceed the value of '66' ",5,K,Hard,C,0.952484021784787,Determine which of the last 5 columns is most positively correalated with the first column named 'Hard' ,Chocolate,L,SugarPercent,H,98 84 80,"In the 'SugarPercent' column, give the row names of the candys with the highest 3 values in descending order ",Berry Chews,Gold Bears-Milk Duds-Berry Chews,30 9 11,Caramel,G,,"In the 'Caramel' column, calculate a rough estimate of the average value",37.86206896551724,G,Bar,J,32,"In the 'Bar' column, find the candy with a value equal to '32' ",Fun Dips,19
DS10_candy_plain2.png,42,10,candy,plain,2,Rating,J,38,"In the 'Rating' column, count how many cells exceed the value of '38' ",8,J,SugarPercent,C,0.9102243079467232,Determine which of the last 5 columns is most positively correalated with the first column named 'SugarPercent' ,Rating,J,Chocolate,K,75 73 71,"In the 'Chocolate' column, give the row names of the candys with the highest 3 values in descending order ",Now Later,Milk Duds-Fruit Chews-Now Later,31 8 26,Almond,D,,"In the 'Almond' column, calculate a rough estimate of the average value",35.62068965517241,D,Chocolate,K,68,"In the 'Chocolate' column, find the candy with a value equal to '68' ",Root Barrels,17
DS11_candy_plain3.png,43,11,candy,plain,3,Pluribus,G,50,"In the 'Pluribus' column, count how many cells exceed the value of '50' ",7,G,Rating,C,0.9228939980431892,Determine which of the last 5 columns is most positively correalated with the first column named 'Rating' ,Chocolate,K,Almond,L,75 73 71,"In the 'Almond' column, give the row names of the candys with the highest 3 values in descending order ",Junior Mints,Pop Rocks-Pixie Sticks-Junior Mints,27 12 28,Caramel,F,,"In the 'Caramel' column, calculate a rough estimate of the average value",50.241379310344826,F,Almond,L,26,"In the 'Almond' column, find the candy with a value equal to '26' ",Reese Pieces,11
DS12_candy_plain4.png,44,12,candy,plain,4,Nougat,I,57,"In the 'Nougat' column, count how many cells exceed the value of '57' ",6,I,Hard,C,0.9508786303434444,Determine which of the last 5 columns is most positively correalated with the first column named 'Hard' ,Nougat,I,Pluribus,J,98 97 95,"In the 'Pluribus' column, give the row names of the candys with the highest 3 values in descending order ",Hersheys Kisses,Milk Duds-Boston Beans-Hersheys Kisses,30 19 16,Fruity,G,,"In the 'Fruity' column, calculate a rough estimate of the average value",37.86206896551724,G,Caramel,K,15,"In the 'Caramel' column, find the candy with a value equal to '15' ",Fruit Chews,15
DS13_movie_bar1.png,61,13,movie,bar,1,Fandango,H,70,"In the 'Fandango' column, count how many cells exceed the value of '70' ",5,H,Naver,C,0.9697062062812496,Determine which of the last 5 columns is most positively correalated with the first column named 'Naver' ,Roger Ebert,I,Roger Ebert,I,71 70 68,"In the 'Roger Ebert' column, give the row names of the movies with the highest 3 values in descending order ",Ricki Flash,Adaline Age-Project Almanac-Ricki Flash,21 16 17,Metacritic,E,,"In the 'Metacritic' column, calculate a rough estimate of the average value",52.310344827586206,E,IMDB,J,67,"In the 'IMDB' column, find the movie with a value equal to '67' ",South Paw,20
DS14_movie_bar2.png,62,14,movie,bar,2,Hulu,I,76,"In the 'Hulu' column, count how many cells exceed the value of '76' ",8,I,MrQE,C,0.932265725644314,Determine which of the last 5 columns is most positively correalated with the first column named 'MrQE' ,Netflix,L,Metacritic,K,75 73 71,"In the 'Metacritic' column, give the row names of the movies with the highest 3 values in descending order ",Hunting Ground,Fantastic Four-Flights Up-Hunting Ground,5 21 20,Fandango,G,,"In the 'Fandango' column, calculate a rough estimate of the average value",37.86206896551724,G,Hulu,I,79,"In the 'Hulu' column, find the movie with a value equal to '79' ",Saint Laurent,18
DS15_movie_bar3.png,63,15,movie,bar,3,PluggedIn,J,54,"In the 'PluggedIn' column, count how many cells exceed the value of '54' ",7,J,RottenTomatoes,C,0.9167989111790532,Determine which of the last 5 columns is most positively correalated with the first column named 'RottenTomatoes' ,Netflix,K,Film Comment,H,98 84 80,"In the 'Film Comment' column, give the row names of the movies with the highest 3 values in descending order ",Black Sea,South Paw-Next Door-Black Sea,10 9 20,Metacritic,F,,"In the 'Metacritic' column, calculate a rough estimate of the average value",50.241379310344826,F,Naver,L,73,"In the 'Naver' column, find the movie with a value equal to '73' ",End Tour,19
DS16_movie_bar4.png,64,16,movie,bar,4,Netflix,G,57,"In the 'Netflix' column, count how many cells exceed the value of '57' ",6,G,IMDB,C,0.9728327679668906,Determine which of the last 5 columns is most positively correalated with the first column named 'IMDB' ,Fandango,J,Fandango,J,71 70 68,"In the 'Fandango' column, give the row names of the movies with the highest 3 values in descending order ",Tomorrow land,Wild Tales-End Tour-Tomorrow land,18 6 10,Hulu,E,,"In the 'Hulu' column, calculate a rough estimate of the average value",52.310344827586206,E,Film Comment,K,31,"In the 'Film Comment' column, find the movie with a value equal to '31' ",Next Door,17
